"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Dawnhart Mentor","G","U","66177","77.9%","56.6%","13286","57.8%"
"Sigardian Savior","W","M","12867","83.2%","56.6%","2135","55.5%"
"Dreadhound","B","U","78932","85.2%","56.6%","13478","57.4%"
"No Way Out","B","C","78284","41.5%","56.6%","14631","57.2%"
"Infernal Grasp","B","U","80299","90.1%","56.6%","15172","56.8%"
"Lier, Disciple of the Drowned","U","M","13086","81.3%","56.5%","2084","56.1%"
"Patrician Geist","U","R","27153","83.5%","56.5%","4849","55.4%"
"Deathbonnet Sprout","G","U","63630","73.9%","56.5%","13481","62.0%"
"Candlegrove Witch","W","C","157010","74.1%","56.5%","39915","57.4%"
"Loyal Gryff","W","U","59901","80.2%","56.4%","11406","55.7%"
"Clarion Cathars","W","C","99755","51.2%","56.4%","20097","57.3%"
"Phantom Carriage","U","U","80555","78.5%","56.4%","13559","54.6%"
"Ritual of Hope","W","U","43213","54.7%","56.4%","7138","53.9%"
"Primal Adversary","G","M","11074","78.2%","56.4%","2019","57.8%"
"Winterthorn Blessing","UG","U","40276","44.7%","56.4%","8330","54.0%"
"Jadar, Ghoulcaller of Nephalia","B","R","25831","87.2%","56.3%","4737","62.4%"
"Cathar Commando","W","C","126795","67.4%","56.3%","28281","56.3%"
"Galedrifter","U","C","162175","73.0%","56.3%","34915","54.7%"
"Corpse Cobble","UB","U","40205","47.8%","56.3%","6687","53.1%"
"Rootcoil Creeper","UG","U","47164","52.7%","56.3%","10906","61.0%"
"Evolving Wilds","","C","231747","90.5%","56.2%","50969","58.5%"
"Rite of Oblivion","WB","U","50423","60.9%","56.2%","9725","55.1%"
"Deserted Beach","","R","10544","44.1%","56.2%","1985","58.1%"
"Augur of Autumn","G","R","24082","82.0%","56.2%","4375","58.7%"
"Eccentric Farmer","G","C","146995","61.4%","56.2%","41545","58.2%"
"Bat Whisperer","B","C","86812","47.3%","56.1%","16549","57.1%"
"Defenestrate","B","C","186532","88.2%","56.1%","40245","55.3%"
"Hobbling Zombie","B","C","164770","84.9%","56.1%","37059","55.7%"
"Beloved Beggar","W","U","55179","75.9%","56.0%","10880","55.0%"
"Clear Shot","G","U","69464","83.4%","55.9%","13356","55.9%"
"Candletrap","W","C","103272","61.3%","55.9%","21848","53.9%"
"Bloodline Culling","B","R","25230","85.0%","55.8%","4332","55.7%"
"Soul-Guide Gryff","W","C","114155","57.4%","55.8%","20899","54.6%"
"Hound Tamer","G","U","59124","86.2%","55.8%","11978","57.0%"
"Hallowed Respite","WU","R","6645","27.2%","55.8%","1121","53.6%"
"Slogurk, the Overslime","UG","R","16618","55.9%","55.8%","2960","59.4%"
"Florian, Voldaren Scion","BR","R","17090","65.0%","55.7%","3091","62.5%"
"Flare of Faith","W","C","84358","44.2%","55.7%","15313","53.6%"
"Silver Bolt","","C","175699","66.4%","55.7%","34717","54.4%"
"Reckless Stormseeker","R","R","21192","79.7%","55.7%","3861","60.9%"
"Angelfire Ignition","WR","R","19455","63.6%","55.7%","3364","58.8%"
"Geistwave","U","C","120681","49.1%","55.6%","22890","52.9%"
"Lord of the Forsaken","B","M","13401","86.8%","55.6%","2135","56.5%"
"Shadowbeast Sighting","G","C","143926","73.1%","55.6%","34894","56.4%"
"Triskaidekaphile","U","R","27136","81.2%","55.6%","4881","55.9%"
"Contortionist Troupe","G","U","62192","84.6%","55.5%","12197","56.1%"
"Curse of Leeches","B","R","22297","83.9%","55.5%","3858","56.6%"
"Harvesttide Sentry","G","C","123681","62.5%","55.5%","32812","56.7%"
