"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Fracture","WB","U","1113","1.6%","46.7%","172",""
"Fractal Summoning","UG","C","4761","1.4%","46.7%","870","40.7%"
"Culmination of Studies","UR","R","3833","15.0%","46.6%","614","42.8%"
"Reduce to Memory","W","U","555","0.6%","46.5%","74",""
"Mind's Desire","U","M","1584","19.8%","45.6%","250",""
"Introduction to Prophecy","","C","964","0.3%","45.1%","163",""
"Rushed Rebirth","BG","R","3802","18.0%","45.1%","598","40.5%"
"Basic Conjuration","G","R","572","1.8%","44.2%","99",""
"Expanded Anatomy","","C","1128","0.3%","44.1%","209",""
"Dragon's Approach","R","C","575","0.3%","40.3%","123",""
"Introduction to Annihilation","","C","705","0.2%","38.7%","91",""
"Mascot Exhibition","","M","420","1.6%","","61",""
"Academic Probation","W","R","85","0.2%","","19",""
"Secret Rendezvous","W","U","296","0.3%","","53",""
"Mercurial Transformation","U","U","275","0.3%","","47",""
"Teachings of the Archaics","U","R","440","1.3%","","78",""
"Confront the Past","B","R","36","0.1%","","5",""
"Fervent Mastery","R","R","310","1.0%","","51",""
"Illuminate History","R","R","435","1.2%","","68",""
"Start from Scratch","R","U","93","0.1%","","12",""
"Containment Breach","G","U","202","0.2%","","40",""
"Krosan Grip","G","R","179","1.0%","","27",""
