"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Karn, Legacy Reforged","","M","535","34.4%","52.7%","96",""
"Onakke Javelineer","R","C","3045","23.3%","52.7%","447",""
"Fertilid's Favor","G","C","5734","44.6%","52.6%","891","52.4%"
"Thrashing Frontliner","R","C","5516","38.0%","52.6%","958","55.2%"
"Etched Host Doombringer","B","C","2379","16.9%","52.6%","370",""
"Invasion of Moag","WG","U","2891","50.5%","52.6%","424",""
"Firja, Judge of Valor","WB","U","2533","41.1%","52.5%","363",""
"Pyretic Prankster","R","C","10476","56.2%","52.5%","1898","49.7%"
"Lutri, the Spellchaser","UR","R","783","26.4%","52.5%","108",""
"Renata, Called to the Hunt","G","U","3533","77.4%","52.4%","619","51.5%"
"Lathiel, the Bounteous Dawn","WG","R","587","43.8%","52.3%","106",""
"Arixmethes, Slumbering Isle","UG","R","710","45.3%","52.3%","102",""
"Urn of Godfire","","C","4259","26.3%","52.2%","696","48.0%"
"Furnace Host Charger","R","C","6626","44.7%","52.2%","1093","48.6%"
"Phyrexian Archivist","","C","688","4.6%","52.2%","95",""
"Obosh, the Preypiercer","BR","R","1346","76.1%","52.2%","213",""
"Pia Nalaar, Consul of Revival","WR","R","650","23.6%","52.2%","129",""
"Valduk, Keeper of the Flame","R","U","1987","31.8%","52.1%","299",""
"Kolaghan Warmonger","R","U","1824","25.2%","52.1%","330",""
"Drana and Linvala","WB","R","1133","54.4%","52.0%","203",""
"Cosmic Rebirth","WG","U","2715","40.3%","52.0%","450",""
"Nahiri's Resolve","WR","R","1272","41.6%","52.0%","223",""
"Scrappy Bruiser","R","U","1101","12.9%","52.0%","194",""
"Squee, the Immortal","R","R","711","52.0%","51.9%","118",""
"Atraxa, Praetors' Voice","WUBG","M","613","70.9%","51.9%","88",""
"Jegantha, the Wellspring","RG","R","693","33.7%","51.8%","100",""
"Niv-Mizzet, Supreme","WUBRG","R","920","28.1%","51.7%","139",""
"Mirrodin Avenged","B","C","1788","14.4%","51.7%","284",""
"Ichor Shade","B","C","4870","38.7%","51.7%","885","48.4%"
