"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Ghalta, Stampede Tyrant","G","M","7121","59.8%","52.2%","1084","51.7%"
"Ancestral Reminiscence","U","C","33581","11.4%","52.1%","5428","49.3%"
"Primordial Gnawer","B","C","61447","24.6%","52.1%","9706","52.3%"
"Tarrian's Journal","B","R","27155","77.7%","52.0%","4707","51.3%"
"Didact Echo","U","C","80580","26.2%","52.0%","12524","49.7%"
"Zoyowa Lava-Tongue","BR","U","44639","47.1%","52.0%","7717","53.5%"
"Over the Edge","G","C","62712","28.5%","51.9%","10123","50.1%"
"Fungal Fortitude","B","C","45831","19.9%","51.9%","7283","51.5%"
"Self-Reflection","U","U","21445","17.7%","51.8%","3246","48.2%"
"Bartolomé del Presidio","WB","U","44460","45.4%","51.8%","7745","51.6%"
"Forgotten Monument","","U","53116","43.0%","51.8%","9301","52.4%"
"Hunter's Blowgun","","C","21043","9.0%","51.8%","3438","49.3%"
"Marauding Brinefang","U","C","108812","37.1%","51.7%","18433","49.1%"
"Nicanzil, Current Conductor","UG","U","39705","40.9%","51.7%","6914","54.8%"
"Basking Capybara","G","C","76266","30.6%","51.7%","13336","49.9%"
"Hurl into History","U","U","24887","20.7%","51.6%","3823","50.3%"
"Cavern of Souls","","M","3971","33.5%","51.6%","688","53.2%"
"Seeker of Sunlight","G","C","54815","26.5%","51.6%","9817","51.6%"
"Thousand Moons Infantry","W","C","40135","15.8%","51.5%","6790","50.4%"
"Abuelo's Awakening","W","R","8313","26.2%","51.5%","1250","46.4%"
"Out of Air","U","C","40432","13.4%","51.4%","6484","50.3%"
"Mephitic Draught","B","C","83568","33.0%","51.3%","14675","51.2%"
"Gargantuan Leech","B","U","41137","37.1%","51.3%","6448","49.0%"
"Gishath, Sun's Avatar","WRG","M","7428","56.4%","51.3%","1114","49.0%"
"Waterlogged Hulk","U","U","36005","23.2%","51.2%","6046","50.4%"
"Calamitous Cave-In","R","U","34821","25.1%","51.2%","5673","48.5%"
"Screaming Phantom","B","C","115082","49.7%","51.2%","19913","49.9%"
"Cavernous Maw","","U","33306","31.2%","51.1%","5538","50.7%"
"Greedy Freebooter","B","C","85986","39.4%","51.0%","15186","52.9%"
"Abyssal Gorestalker","B","U","25914","28.1%","51.0%","3905","51.2%"
"Bat Colony","W","U","31723","27.3%","50.9%","5291","51.3%"
"Queen's Bay Paladin","B","R","15621","51.5%","50.9%","2418","49.1%"
"Fabrication Foundry","W","R","2630","12.3%","50.8%","429",""
"Amalia Benavides Aguirre","WB","R","11248","38.5%","50.7%","1953","51.0%"
"Song of Stupefaction","U","C","32676","10.9%","50.7%","5284","48.4%"
"The Mycotyrant","BG","M","9300","61.6%","50.6%","1635","50.0%"
"Grasping Shadows","B","U","57139","52.5%","50.6%","9295","46.7%"
"Glowcap Lantern","G","U","23972","30.2%","50.4%","3958","48.7%"
"Buried Treasure","","C","48789","20.0%","50.3%","8532","47.2%"
"Swashbuckler's Whip","","U","6753","6.4%","50.2%","1028","45.4%"
"Growing Rites of Itlimoc","G","R","5381","25.1%","50.2%","900","49.0%"
"Pit of Offerings","","U","44451","46.2%","50.2%","7010","46.4%"
"Frilled Cave-Wurm","U","C","33966","12.2%","50.1%","5398","48.4%"
"Broodrage Mycoid","B","C","95399","44.4%","50.1%","15533","48.7%"
"Matzalantli, the Great Door","","R","9216","38.8%","50.0%","1545","47.3%"
"Disruptor Wanderglyph","","C","11819","4.8%","50.0%","1840","48.2%"
"Spelunking","G","U","12297","13.2%","49.9%","2107","51.2%"
"Disturbed Slumber","G","C","7404","3.2%","49.9%","1282","45.3%"
"Kaslem's Stonetree","G","C","30830","13.8%","49.7%","5361","47.5%"
"Deep Goblin Skulltaker","B","C","85103","42.9%","49.6%","14512","47.7%"
"Squirming Emergence","BG","R","10019","35.8%","49.5%","1582","45.3%"
"The Enigma Jewel","U","M","967","6.6%","49.2%","163",""
"Contested Game Ball","","U","940","0.8%","49.1%","133",""
"Malicious Eclipse","B","U","18673","21.3%","49.1%","3003","46.7%"
"Acolyte of Aclazotz","B","C","63345","26.0%","49.1%","10291","45.9%"
"Bloodthorn Flail","B","U","9617","9.8%","49.1%","1708","46.8%"
"Volatile Fault","","U","22696","22.7%","49.0%","3747","46.4%"
"Vito's Inquisitor","B","C","53903","24.8%","48.9%","8460","46.1%"
"Child of the Volcano","R","C","32542","13.5%","48.7%","5233","46.4%"
"Echoing Deeps","","R","7540","22.0%","48.4%","1182","48.6%"
"Deeproot Pilgrimage","U","R","5070","16.1%","48.3%","924","45.5%"
"Tectonic Hazard","R","C","4340","1.7%","48.0%","637","46.3%"
"Zoyowa's Justice","R","U","4904","4.7%","47.8%","786","43.5%"
"Hit the Mother Lode","R","R","1498","4.6%","47.8%","210",""
"Canonized in Blood","B","U","14761","20.8%","45.4%","2403","42.6%"
"The Millennium Calendar","","M","2533","19.1%","45.0%","465",""
"Sorcerous Spyglass","","U","213","0.2%","","32",""
