"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Liliana, the Last Hope","B","M","4413","80.0%","54.9%","780","62.4%"
"Gnarlwood Dryad","G","C","83789","75.4%","54.9%","14704","58.0%"
"Burn from Within","R","R","11430","87.1%","54.9%","1905","55.4%"
"Rabid Bite","G","C","89246","84.2%","54.8%","14744","54.3%"
"Village Messenger","R","U","21466","66.6%","54.8%","3893","60.9%"
"Grapple with the Past","G","C","62100","54.0%","54.8%","10802","55.0%"
"Byway Courier","G","C","97783","83.4%","54.8%","16931","54.4%"
"Ishkanah, Grafwidow","G","M","5168","82.7%","54.8%","850","58.2%"
"Forsaken Sanctuary","","U","17052","44.9%","54.8%","3095","55.6%"
"Uncaged Fury","R","U","22917","65.1%","54.8%","3532","53.5%"
"Tragic Slip","B","C","3569","71.4%","54.7%","608","55.6%"
"Port Town","","U","21047","54.8%","54.7%","3887","56.1%"
"Insatiable Gorgers","R","C","46726","52.5%","54.7%","7438","53.4%"
"Jace, Unraveler of Secrets","U","M","5135","84.4%","54.7%","863","56.5%"
"Ulrich's Kindred","R","U","18765","57.0%","54.6%","3237","54.2%"
"Confront the Unknown","G","C","58420","53.7%","54.6%","9527","53.8%"
"Mad Prophet","R","U","20164","55.9%","54.6%","3265","52.8%"
"Elder Cathar","W","C","22373","62.2%","54.6%","3752","52.2%"
"Deathcap Cultivator","G","U","33084","85.6%","54.6%","5876","56.6%"
"Bump in the Night","B","C","5359","17.9%","54.6%","833","51.4%"
"Vessel of Nascency","G","U","27611","63.4%","54.6%","4847","56.5%"
"Howlpack Wolf","R","C","38754","44.0%","54.6%","6588","54.9%"
"Falkenrath Aristocrat","BR","M","920","84.4%","54.6%","158",""
"Deranged Whelp","R","C","63469","65.8%","54.5%","11126","54.7%"
"Invisible Stalker","U","U","1180","54.0%","54.5%","211",""
"Stensia Masquerade","R","U","19013","62.3%","54.5%","3119","54.8%"
"Rise from the Tides","U","U","28737","66.4%","54.4%","4752","51.0%"
"Geier Reach Bandit","R","U","21405","74.5%","54.4%","3727","55.8%"
"Moonmist","G","C","5155","15.9%","54.4%","758","51.5%"
"Faithbearer Paladin","W","C","39416","43.6%","54.4%","6198","53.8%"
"Docent of Perfection","U","R","18115","85.1%","54.4%","3021","56.0%"
"Ulrich of the Krallenhorde","RG","R","15613","77.1%","54.3%","2588","58.2%"
"Bloodline Keeper","B","M","2207","86.4%","54.3%","380",""
"Subjugator Angel","W","U","18757","63.0%","54.3%","2783","52.2%"
"Falkenrath Gorger","R","R","7013","69.1%","54.3%","1289","58.0%"
"Requiem Angel","W","R","2371","86.2%","54.3%","355",""
"Brimstone Volley","R","U","1836","82.7%","54.2%","326",""
"Westvale Abbey","","R","15878","90.7%","54.2%","2700","53.7%"
"Ulvenwald Hydra","G","R","9300","82.9%","54.2%","1450","56.5%"
"Shrill Howler","G","U","26151","81.0%","54.2%","4487","53.2%"
"Emrakul, the Promised End","","M","4396","76.2%","54.2%","682","52.6%"
"Murder of Crows","U","U","5402","72.9%","54.1%","884","52.3%"
"Tormenting Voice","R","C","52803","57.0%","54.1%","9338","52.6%"
"Kruin Outlaw","R","R","3864","79.7%","54.1%","684","49.9%"
"Pore Over the Pages","U","U","26098","65.8%","54.0%","4218","52.6%"
"Puncturing Light","W","C","38476","49.3%","53.9%","6548","52.2%"
"Spirit of the Hunt","G","R","7792","71.3%","53.9%","1368","55.9%"
"Geralf's Masterpiece","U","R","9478","80.1%","53.9%","1531","56.6%"
"Ulvenwald Captive","G","C","66896","81.9%","53.9%","11948","55.1%"
"Confirm Suspicions","U","R","7334","61.4%","53.9%","1120","52.8%"
"Haunted Dead","B","U","26291","75.3%","53.8%","4278","54.5%"
"Mirrorwing Dragon","R","M","5169","83.8%","53.8%","856","56.9%"
"Conduit of Storms","R","C","47967","68.0%","53.7%","8298","54.6%"
"Game Trail","","U","18349","52.1%","53.7%","3325","56.7%"
"Dead Weight","B","C","76208","78.8%","53.7%","13469","54.0%"
"Pieces of the Puzzle","U","U","15336","41.4%","53.7%","2570","53.8%"
"Cackling Counterpart","U","R","3566","70.5%","53.7%","541","52.1%"
"Bedlam Reveler","R","R","8419","75.5%","53.7%","1334","53.2%"
"Fiend Binder","W","C","31488","38.7%","53.7%","4972","51.1%"
"Take Inventory","U","C","59997","56.3%","53.7%","10701","54.1%"
"Hope Against Hope","W","U","10080","36.3%","53.6%","1525","51.5%"
"Kindly Stranger","B","U","25437","74.2%","53.5%","4329","52.6%"
"Elder Deep-Fiend","","R","9081","78.0%","53.5%","1445","54.0%"
"Young Wolf","G","C","9137","54.0%","53.5%","1665","54.1%"
"Ingenious Skaab","U","C","68851","65.4%","53.4%","11938","54.8%"
"Distended Mindbender","","R","8131","73.1%","53.4%","1325","54.7%"
"Erdwal Illuminator","U","U","28341","74.2%","53.3%","5046","57.1%"
"Gatstaf Arsonists","R","C","29815","45.1%","53.3%","4679","52.6%"
"Arlinn Kord","RG","M","7351","77.1%","53.3%","1236","57.4%"
"Sage of Ancient Lore","G","R","14924","79.5%","53.3%","2412","52.2%"
"Ulvenwald Mysteries","G","U","29897","80.3%","53.3%","5140","51.8%"
"Decimator of the Provinces","","M","4294","75.0%","53.3%","644","52.6%"
"Pyre Hound","R","C","47040","54.5%","53.2%","7624","52.6%"
"Accursed Witch","B","U","21756","71.4%","53.2%","3702","55.4%"
"Anguished Unmaking","WB","U","13505","47.9%","53.2%","2222","50.5%"
"Curious Homunculus","U","U","21831","64.1%","53.2%","3849","53.7%"
"Geier Reach Sanitarium","","R","4206","47.3%","53.2%","709","52.3%"
"Fogwalker","U","C","38844","45.6%","53.2%","6786","52.3%"
"Shreds of Sanity","R","U","17406","44.8%","53.1%","2645","49.0%"
"Dawn Gryff","W","C","20908","26.8%","53.1%","3635","50.6%"
"Graf Mole","G","U","23649","59.1%","53.0%","4083","54.0%"
"Gnaw to the Bone","G","C","9113","23.8%","53.0%","1440","49.6%"
"Noosegraf Mob","B","R","7595","74.3%","53.0%","1203","53.4%"
"Foul Orchard","","U","19100","49.0%","53.0%","3484","54.4%"
"Haunted Fengraf","","C","14523","43.1%","53.0%","2348","50.4%"
"Traverse the Ulvenwald","G","R","5761","60.6%","53.0%","1054","51.5%"
"Harvest Hand","","U","11473","41.3%","53.0%","1944","50.9%"
"Ride Down","WR","U","10293","31.5%","53.0%","1662","52.9%"
"Stone Quarry","","U","13162","34.2%","53.0%","2426","53.5%"
"Rush of Adrenaline","R","C","25522","29.3%","52.9%","4040","52.4%"
"Hanweir Battlements","","R","6717","43.2%","52.9%","1069","50.9%"
"Scourge Wolf","R","U","20000","66.2%","52.8%","3486","51.5%"
"Tamiyo, Field Researcher","WUG","M","3732","66.4%","52.8%","625","52.3%"
"Goldnight Castigator","R","M","3325","66.7%","52.8%","524","54.6%"
"Ember-Eye Wolf","R","C","36690","44.9%","52.7%","6577","51.3%"
"Highland Lake","","U","18828","48.3%","52.7%","3571","54.9%"
"Assembled Alphas","R","R","8171","77.6%","52.7%","1301","51.0%"
"Skirsdag Cultist","R","U","3758","52.3%","52.7%","632","48.3%"
"Aim High","G","C","17602","20.9%","52.7%","2746","50.1%"
"Alms of the Vein","B","C","17185","23.6%","52.6%","2720","48.5%"
"Traitorous Blood","R","C","6150","35.7%","52.6%","941","51.4%"
"Collective Brutality","B","R","7551","77.8%","52.6%","1207","53.3%"
"Humble the Brute","W","U","11732","41.5%","52.6%","1806","50.0%"
"Wharf Infiltrator","U","R","9055","77.8%","52.5%","1660","59.8%"
"Stormrider Spirit","U","C","20082","24.3%","52.5%","3038","49.6%"
"Terrarion","","C","43815","41.1%","52.5%","7940","53.0%"
"Compelling Deterrence","U","U","22459","65.0%","52.5%","3774","52.9%"
"Unburial Rites","B","U","5016","41.7%","52.4%","756","48.5%"
"Grim Flayer","BG","R","6079","58.5%","52.4%","999","58.5%"
"Thornhide Wolves","G","C","22596","25.8%","52.4%","3480","50.7%"
