Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR
Zealot of the God-Pharaoh,R,C,10264,60.60%,57.10%,1899,57.20%
Trial of Solidarity,W,U,7675,77.60%,57.00%,1379,56.10%
Pathmaker Initiate,R,C,13126,58.00%,57.00%,2800,55.80%
"Hapatra, Vizier of Poisons",BG,R,1385,68.00%,57.00%,264,
Blur of Blades,R,C,8305,45.30%,56.90%,1615,56.80%
Trial of Ambition,B,U,6153,79.90%,56.90%,1184,61.00%
Mouth // Feed,G,R,2090,84.80%,56.90%,346,
Bontu's Last Reckoning,B,R,1691,69.20%,56.90%,281,
Wall of Forgotten Pharaohs,,C,14826,63.00%,56.90%,3382,58.30%
Sandwurm Convergence,G,R,2195,84.60%,56.90%,379,
Mighty Leap,W,C,5471,32.90%,56.80%,906,52.20%
Start // Finish,WB,U,5037,62.40%,56.80%,1017,58.60%
Sifter Wurm,G,U,6238,81.20%,56.80%,1024,58.00%
Bloodlust Inciter,R,C,5674,34.30%,56.80%,1091,58.80%
Shimmerscale Drake,U,C,15822,74.80%,56.80%,3604,55.90%
Aven Initiate,U,C,15151,72.70%,56.70%,3337,55.90%
Tah-Crop Elite,W,C,16732,80.40%,56.70%,3578,54.40%
Hornet Queen,G,M,1148,83.20%,56.70%,188,
Khenra Charioteer,RG,U,3404,55.10%,56.70%,691,56.40%
Striped Riverwinder,U,C,13444,68.30%,56.70%,2874,56.00%
Scattered Groves,,R,1417,66.70%,56.60%,261,
Anointer Priest,W,C,7488,48.50%,56.60%,1582,55.80%
Rhonas's Stalwart,G,C,14852,72.70%,56.60%,3703,58.70%
Cartouche of Strength,G,C,17212,81.60%,56.60%,3951,57.10%
Crested Sunmare,W,M,1047,82.60%,56.50%,161,
Trial of Strength,G,U,6472,77.80%,56.50%,1372,57.10%
Vizier of Remedies,W,U,3423,49.70%,56.50%,646,56.80%
Impeccable Timing,W,C,9809,60.80%,56.50%,1939,57.70%
Sphinx's Revelation,WU,M,664,54.60%,56.50%,115,
Sunset Pyramid,,U,7004,78.10%,56.50%,1310,56.90%
Splendid Agony,B,C,17274,75.70%,56.40%,3814,57.30%
Cartouche of Ambition,B,C,17199,79.00%,56.40%,3717,57.70%
Collected Company,G,R,981,62.10%,56.40%,174,
Cartouche of Zeal,R,C,12358,60.10%,56.40%,2494,53.80%
Binding Mummy,W,C,11641,66.60%,56.30%,2936,57.70%
Pact of Negation,U,R,710,35.40%,56.30%,115,
Eternal of Harsh Truths,U,U,5099,75.70%,56.30%,953,56.30%
Hashep Oasis,,U,6044,78.20%,56.30%,1136,57.40%
Baleful Ammit,B,U,6437,85.00%,56.30%,1258,58.60%
Exemplar of Strength,G,U,6485,83.50%,56.30%,1301,58.60%
Desert of the Glorified,,C,18617,77.60%,56.20%,4318,56.10%
Compelling Argument,U,C,2529,17.10%,56.20%,547,54.70%
Supply Caravan,W,C,4488,27.20%,56.20%,805,53.70%
Countervailing Winds,U,C,7249,41.20%,56.20%,1414,54.20%
Spellweaver Eternal,U,C,10916,61.30%,56.20%,2492,54.80%
Vile Manifestation,B,U,5185,68.00%,56.10%,1068,58.00%
Hour of Revelation,W,R,1096,54.70%,56.10%,192,
Desert of the Indomitable,,C,17384,75.80%,56.00%,4142,54.90%
