"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Cathartic Pyre","R","U","4302","87.6%","59.2%","769","59.9%"
"Stensia Uprising","R","R","3383","82.4%","59.2%","591","58.9%"
"Neonate's Rush","R","C","8236","55.8%","59.2%","1676","59.4%"
"Panicked Bystander","W","U","4226","75.9%","59.2%","788","62.3%"
"Rem Karolus, Stalwart Slayer","WR","R","1231","50.1%","59.1%","197",""
"Geralf, Visionary Stitcher","U","R","4001","89.6%","59.1%","716","60.6%"
"Tovolar, Dire Overlord","RG","R","1801","69.9%","59.1%","348",""
"Poppet Stitcher","U","M","1720","84.9%","59.1%","310",""
"Bloodtithe Harvester","BR","U","3022","64.7%","59.1%","576","65.6%"
"Voldaren Bloodcaster","B","R","3234","88.2%","59.1%","645","65.1%"
"Odric, Blood-Cursed","WR","R","525","28.8%","59.0%","80",""
"Fleeting Spirit","W","U","3323","76.5%","59.0%","672","59.1%"
"Tovolar's Huntmaster","G","R","2952","85.6%","59.0%","531","63.5%"
"Heron of Hope","W","C","8095","70.6%","59.0%","1566","56.8%"
"Abrade","R","C","11236","86.7%","58.9%","2360","60.0%"
"Mirrorhall Mimic","U","R","3957","89.2%","58.9%","666","58.9%"
"Syncopate","U","C","8230","59.2%","58.9%","1469","61.4%"
"By Invitation Only","W","R","2598","74.0%","58.9%","454",""
"Flame-Blessed Bolt","R","C","11029","84.0%","58.9%","2271","61.1%"
"Eaten Alive","B","C","11974","87.1%","58.9%","2268","59.5%"
"Halana and Alena, Partners","RG","R","3227","87.3%","58.9%","551","70.1%"
"Ritual of Hope","W","U","1596","42.7%","58.9%","248",""
"Bladestitched Skaab","UB","U","3425","67.8%","58.9%","705","59.7%"
"Fateful Absence","W","R","2225","85.3%","58.9%","419",""
"Vanquish the Horde","W","R","2015","70.9%","58.9%","396",""
"Fell Stinger","B","U","4571","89.5%","58.8%","808","61.3%"
"Soul-Guide Gryff","W","C","5638","53.0%","58.8%","986","56.5%"
"Intrepid Adversary","W","M","1421","81.1%","58.8%","230",""
"Sunrise Cavalier","WR","U","1887","51.0%","58.8%","334",""
"Phantom Carriage","U","U","3761","68.6%","58.8%","621","60.2%"
"Voice of the Blessed","W","R","1716","70.8%","58.8%","310",""
"Geistwave","U","C","7495","54.9%","58.8%","1348","57.4%"
"Thirst for Discovery","U","U","4646","83.9%","58.8%","803","55.7%"
"Evolving Wilds","","C","14243","94.0%","58.8%","2900","60.0%"
"Gavony Silversmith","W","C","8656","80.3%","58.7%","1662","58.7%"
"Ominous Roost","U","U","1296","28.9%","58.7%","228",""
"Olivia's Midnight Ambush","B","C","10908","86.0%","58.7%","2164","60.0%"
"Voldaren Epicure","R","C","8289","67.5%","58.7%","1741","59.5%"
"Gavony Trapper","W","C","8008","68.5%","58.7%","1521","59.3%"
"Burn Down the House","R","R","3092","82.9%","58.7%","534","60.1%"
"Evolving Wilds","","C","14181","93.7%","58.7%","2809","60.3%"
"Gisa, Glorious Resurrector","B","R","3009","88.5%","58.7%","527","57.5%"
"Flame Channeler","R","U","4108","66.0%","58.7%","767","59.3%"
"Wandering Mind","UR","U","2647","48.6%","58.7%","559","58.9%"
"Memory Deluge","U","R","3411","84.8%","58.6%","609","56.0%"
"Arrogant Outlaw","B","C","4948","51.2%","58.6%","918","57.3%"
"Persistent Specimen","B","C","4039","43.5%","58.6%","754","55.6%"
"Sacred Fire","WR","U","2320","52.8%","58.6%","429",""
"Ill-Tempered Loner","R","R","3076","87.1%","58.6%","522","60.0%"
"Stitched Assistant","U","C","9397","66.1%","58.6%","1871","56.6%"
"Consider","U","C","7406","56.3%","58.6%","1453","61.9%"
"Glorious Sunrise","G","R","2840","84.6%","58.6%","479",""
"Pointed Discussion","B","C","7084","56.7%","58.5%","1285","58.4%"
"Undead Butler","B","U","3615","80.6%","58.5%","683","59.6%"
"Cemetery Illuminator","U","M","1647","89.2%","58.5%","297",""
"Bleed Dry","B","C","11046","87.6%","58.5%","2092","58.4%"
"Lier, Disciple of the Drowned","U","M","1273","79.1%","58.5%","222",""
"Clear Shot","G","U","3699","82.9%","58.4%","663","58.7%"
"Rite of Oblivion","WB","U","2555","60.4%","58.4%","428",""
"Hopeful Initiate","W","R","1708","73.1%","58.4%","318",""
"Markov Waltzer","WR","U","1743","50.0%","58.4%","322",""
"Wretched Throng","U","C","1779","16.9%","58.4%","679","57.3%"
"Old Rutstein","BG","R","1675","54.9%","58.4%","289",""
"Bloodline Culling","B","R","2689","85.3%","58.4%","473",""
"Kindly Ancestor","W","C","9197","76.7%","58.4%","1824","59.3%"
"Diregraf Horde","B","C","13528","84.8%","58.3%","2794","57.8%"
